geoid20,pop,intpt_lat,intpt_lon,tract_geoid,dist_supply_m,dist_247_m,dist_otp_m,dist_dart_m,dart_within_805m,within_1mi_supply,within_2mi_supply,stranded
481130173122002,44,32.75362,-96.571793,48113017312,4381.2,18353.0,4381.2,6720.4,False,False,False,True
481130210003011,27,32.736015,-96.810325,48113021000,2286.4,6202.2,2286.4,127.2,True,False,True,False
481130208002016,60,32.761232,-96.753077,48113020800,715.0,2137.2,1691.4,408.9,True,True,True,False
481130073021008,73,32.854862,-96.841861,48113007302,3924.6,11174.3,3924.6,988.7,False,False,False,True
481130005012006,90,32.808757,-96.811481,48113000501,192.4,5529.6,1898.6,194.7,True,True,True,False
481130166371014,62,32.638565,-96.891016,48113016637,5577.6,19358.8,5577.6,1064.1,False,False,False,True
481130173143007,87,32.740949,-96.579862,48113017314,4524.9,17870.0,4524.9,5655.3,False,False,False,True
481130106011019,81,32.786086,-96.905164,48113010601,4512.9,13102.9,4512.9,769.5,True,False,False,False
481130181113043,67,32.867313,-96.614847,48113018111,1522.3,17292.6,3758.8,457.7,True,True,True,False
481130166272037,46,32.58587,-96.837826,48113016627,10555.7,22279.7,10555.7,3093.8,False,False,False,True
481130181472015,60,32.867841,-96.585656,48113018147,1891.1,19618.1,3386.2,1789.4,False,False,True,True
481130177061006,92,32.773222,-96.587298,48113017706,2617.3,16715.7,2617.3,5726.4,False,False,True,True
481130203003024,33,32.768509,-96.770114,48113020300,422.3,1060.2,422.3,123.9,True,True,True,False
481130097021016,42,32.882481,-96.858971,48113009702,5886.1,14571.5,5886.1,992.5,False,False,False,True
481130057003022,24,32.702058,-96.803473,48113005700,1540.3,9064.6,1540.3,90.8,True,True,True,False
481130170102022,62,32.685944,-96.573924,48113017010,8674.9,20629.9,9986.8,7209.1,False,False,False,True
481130130082013,1228,32.880653,-96.71982,48113013008,3175.6,12237.9,4375.0,185.4,True,False,True,False
481130136081010,25,32.94799,-96.790609,48113013608,3887.6,19070.7,3887.6,282.3,True,False,False,False
481130117011012,107,32.714499,-96.661253,48113011701,2583.4,12010.0,7457.7,1356.1,False,False,True,True
481130117012002,100,32.707135,-96.655063,48113011701,3110.5,12960.7,7839.8,1555.7,False,False,True,True
481130210002022,30,32.741546,-96.799314,48113021000,2895.6,5065.3,2895.6,79.3,True,False,True,False
481130174003027,142,32.756413,-96.591674,48113017400,2584.8,16465.0,2584.8,5136.7,False,False,True,True
481130174001012,110,32.753609,-96.589677,48113017400,2915.5,16696.6,2915.5,5162.8,False,False,True,True
481130160011023,97,32.737256,-97.010108,48113016001,10441.5,23329.7,10441.5,7534.3,False,False,False,True
481130194001001,91,32.844411,-96.791363,48113019400,4181.8,7820.9,6262.8,416.2,True,False,False,False
481130195022048,50,32.837181,-96.813826,48113019502,2950.3,8026.4,4798.4,897.2,False,False,True,True
481130110031009,76,32.685859,-96.846218,48113011003,1204.3,12641.6,1204.3,574.3,True,True,True,False
481130110033006,56,32.678746,-96.846401,48113011003,980.4,13292.5,980.4,592.7,True,True,True,False
481130098031007,69,32.879484,-96.869985,48113009803,5487.4,14958.9,5487.4,410.1,True,False,False,False
481130181102040,44,32.873609,-96.600411,48113018110,1698.2,18800.2,3969.2,999.3,False,False,True,True
481130141262004,39,32.959178,-97.000748,48113014126,10098.3,29844.4,10098.3,1887.5,False,False,False,True
481130181351016,69,32.883172,-96.537375,48113018135,6683.2,24385.0,7298.1,3363.6,False,False,False,True
481130167082023,102,32.624629,-96.793476,48113016708,6363.6,17129.0,8519.0,3006.8,False,False,False,True
481130136102025,53,32.93246,-96.778579,48113013610,5477.2,17247.6,5477.2,825.0,False,False,False,True
481130169031064,26,32.596199,-96.676671,48113016903,13865.4,21747.1,17920.3,10264.1,False,False,False,True
481130190231004,85,32.959589,-96.689176,48113019023,6235.5,21443.6,9096.2,141.9,True,False,False,False
481130134001047,54,32.899644,-96.815936,48113013400,6123.8,14359.2,6123.8,1076.5,False,False,False,True
481130166103040,39,32.613065,-96.833088,48113016610,7716.4,19277.6,7716.4,3813.3,False,False,False,True
481130181102029,41,32.879853,-96.593022,48113018110,2538.8,19763.1,4621.7,1977.5,False,False,True,True
481130181342028,94,32.907484,-96.519677,48113018134,9468.5,27177.6,10382.9,4105.8,False,False,False,True
481130117013013,64,32.717828,-96.677242,48113011701,3395.6,10590.5,8159.1,549.1,True,False,False,False
481130190362020,61,32.978803,-96.692786,48113019036,8088.6,23361.8,11253.5,958.8,False,False,False,True
481130181401000,238,32.92666,-96.561884,48113018140,6603.6,25260.9,10268.6,2504.4,False,False,False,True
481130181111003,20,32.867988,-96.621933,48113018111,2108.6,16799.9,4196.3,855.0,False,False,True,True
481130156001003,119,32.755035,-96.98252,48113015600,7645.6,20465.7,7645.6,5051.2,False,False,False,True
481130165241025,109,32.567715,-96.969906,48113016524,10328.2,30116.8,10328.2,6871.5,False,False,False,True
481130197001012,51,32.838277,-96.792883,48113019700,3511.4,7225.7,5599.2,549.2,True,False,False,False
481130027032048,13,32.767326,-96.750101,48113002703,1435.5,1830.6,1622.4,175.5,True,True,True,False
481130051002024,35,32.73078,-96.848349,48113005100,3609.4,9307.5,3609.4,478.0,True,False,False,False
481130051002006,103,32.734474,-96.842002,48113005100,3744.1,8585.3,3744.1,106.9,True,False,False,False
481130072041000,171,32.865077,-96.872179,48113007204,4302.4,13935.0,4302.4,668.0,True,False,False,False
481130086042006,66,32.714078,-96.774227,48113008604,2108.6,7056.5,2895.6,253.6,True,False,True,False
481130087012020,39,32.706866,-96.771687,48113008701,1301.6,7830.8,3282.9,192.8,True,True,True,False
481130092032011,75,32.738722,-96.673747,48113009203,2583.6,9616.8,6469.5,487.7,True,False,True,False
481130181592009,50,32.827176,-96.562075,48113018159,3254.6,19852.6,3254.6,3550.8,False,False,False,True
481130090012020,30,32.764114,-96.670669,48113009001,3999.6,9019.4,5262.6,76.0,True,False,False,False
481130057001032,87,32.686858,-96.792992,48113005700,1312.8,10350.8,3411.2,148.3,True,True,True,False
